song_no,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
104,0.661,0.442,10,-7.297,0,0.0285,0.0697,1.15E-05,0.136,0.299,82.758,4Sw4lblE6aXpoOJma6Mlx5,313227,3
105,0.596,0.62,5,-6.133,0,0.039,0.0122,0,0.82,0.102,80.029,2MIBAmYwiuGoKUlpq9B9sZ,271600,4
106,0.595,0.754,11,-5.827,0,0.181,0.0142,0,0.247,0.647,83.155,0IW0qaeyxL5Et4UG2MrJKB,239880,4
107,0.507,0.753,5,-5.31,0,0.19,0.503,0,0.573,0.657,178.068,1ko2NuvWlQdxtNRc8QQzmT,324227,3
108,0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,5SkRLpaGtvYPhw02vZhQQ9,223507,4
109,0.418,0.447,0,-9.058,0,0.338,0.684,2.10E-06,0.414,0.869,169.336,7wL7Lb8Q3aYyq6gmRL0PZq,81787,4
110,0.667,0.747,1,-7.059,1,0.189,0.337,0,0.115,0.918,86.917,2ovQ5MCx91XVjgVWEPfvks,203493,4
111,0.631,0.623,8,-6.969,1,0.265,0.463,1.70E-06,0.151,0.765,80.23,2T8bL4YC49Ska1yl74qcS0,227893,4
112,0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,31I3Rt1bPa2LrE74DdNizO,237507,4
113,0.693,0.504,6,-8.306,1,0.238,0.00299,0,0.695,0.723,102.139,2aHlRZIGUFThu3eQePm6yI,167600,4
114,0.439,0.808,1,-6.881,1,0.346,0.00305,0,0.439,0.487,82.962,14blxrgE0VWAgv5aF2wWmx,207000,4
115,0.523,0.73,1,-3.715,0,0.0754,0.155,0,0.124,0.17,75.038,13s4YFYQEnHLJEcdZvLuol,165354,4
116,0.532,0.652,9,-6.112,0,0.119,0.262,0,0.461,0.797,80.803,4s5DywrMqIlGxvKi4WrHwH,119880,4
117,0.147,0.822,8,-9.602,0,0.0871,0.00221,0.953,0.181,0.126,103.714,7sUoR0Yg7FsD7BpJatAtid,234111,3
